type,title,director,release_year,rating,listed_in,movie_duration,show_seasons
Movie,The Heretics,Chad Archibald,2017,TV-MA,Horror Movies,88,
Movie,The Heroes of Evil,Zoe Berriatúa,2015,TV-MA,"Dramas, International Movies",99,
Movie,The Heyday of the Insensitive Bastards,"Mark Columbus, Lauren Hoekstra, Sarah Kruchowski, Ryan Moody, Simon Savelyev, Vanita Shastry, Shadae Lamar Smith, Jeremy David White",2017,TV-MA,"Dramas, Independent Movies",96,
Movie,The Hollow Point,Gonzalo López-Gallego,2016,R,Action & Adventure,97,
Movie,The Holy Man,Note Chern-Yim,2005,TV-14,"Comedies, Faith & Spirituality, International Movies",92,
TV Show,The Homecoming,,2015,TV-PG,"International TV Shows, Korean TV Shows, Reality TV",,1
Movie,The House on Coco Road,Damani Baker,2016,TV-14,Documentaries,79,
TV Show,The House That Made Me,,2015,TV-PG,"International TV Shows, Reality TV",,3
Movie,The Human Factor: The Untold Story of the Bombay Film Orchestras,Rudradeep Bhattacharjee,2013,TV-PG,"Documentaries, International Movies, Music & Musicals",53,
Movie,The Humanity Bureau,Rob W. King,2017,R,"Action & Adventure, Sci-Fi & Fantasy",94,
Movie,The Hundred-Foot Journey,Lasse Hallström,2014,PG,"Comedies, Dramas",123,
TV Show,The Hunt,,2015,TV-PG,"British TV Shows, Docuseries, Science & Nature TV",,1
Movie,The Hurricane Heist,Rob Cohen,2018,PG-13,Action & Adventure,103,
Movie,The Hurt Business,Vlad Yudin,2016,PG-13,"Documentaries, Sports Movies",111,
Movie,The Imaginarium of Doctor Parnassus,Terry Gilliam,2009,PG-13,"Action & Adventure, Sci-Fi & Fantasy",123,
TV Show,The Inbetweeners,,2010,TV-MA,"British TV Shows, TV Comedies",,3
Movie,The Incident,Isaac Ezban,2014,TV-MA,"International Movies, Sci-Fi & Fantasy, Thrillers",100,
Movie,The Incredible Story of the Giant Pear,"Philip Einstein Lipski, Jørgen Lerdam, Amalie Næsby Fick",2018,TV-G,Children & Family Movies,75,
Movie,The Incredibles 2,Brad Bird,2018,PG,"Children & Family Movies, Comedies",118,
Movie,The Indian in the Cupboard,Frank Oz,1995,PG,"Children & Family Movies, Dramas",96,
Movie,The Informant!,Steven Soderbergh,2009,R,"Comedies, Dramas",108,
Movie,The Intent,"Femi Oyeniran, Kalvadour Peterson",2016,TV-MA,"Dramas, International Movies, Thrillers",99,
Movie,The Intent 2: The Come Up,"Femi Oyeniran, Nicky Slimting Walker",2018,TV-MA,"Dramas, International Movies",103,
Movie,The Invention of Lying,"Ricky Gervais, Matthew Robinson",2009,PG-13,"Comedies, Romantic Movies",99,
TV Show,The Investigator: A British Crime Story,,2018,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",,2
Movie,The Invitation,Karyn Kusama,2015,TV-MA,"Horror Movies, Independent Movies, Thrillers",100,
TV Show,The Irish Mob,,2008,TV-MA,"Crime TV Shows, Docuseries",,1
Movie,The Iron Lady,Phyllida Lloyd,2011,PG-13,"Dramas, International Movies",105,
Movie,The Jack King Affair,"Benjamin Cohen, Nicolas Cotto",2015,TV-14,"Documentaries, International Movies",52,
TV Show,The Jaime Maussan Show,,2010,TV-PG,"Docuseries, International TV Shows, Spanish-Language TV Shows",,1
Movie,The Jane Austen Book Club,Robin Swicord,2007,PG-13,"Comedies, Dramas, Romantic Movies",106,
TV Show,The Jungle Book,,2010,TV-Y7,Kids' TV,,1
Movie,The Jungle School,Riri Riza,2013,TV-PG,"Dramas, International Movies",90,
Movie,The Keeping Hours,Karen Moncrieff,2017,PG-13,"Dramas, Thrillers",95,
TV Show,The Kindness Diaries,,2019,TV-PG,Reality TV,,1
Movie,The King's Speech,Tom Hooper,2010,R,"Dramas, International Movies",118,
TV Show,The L Word,,2009,TV-MA,"Romantic TV Shows, TV Dramas",,6
TV Show,The Lady in Dignity,,2017,TV-MA,"International TV Shows, Korean TV Shows, TV Dramas",,1
Movie,The Lake House,Alejandro Agresti,2006,PG,"Dramas, Romantic Movies, Sci-Fi & Fantasy",98,
Movie,The Lamb,Timothy Reckart,2017,PG,"Children & Family Movies, Faith & Spirituality",86,
Movie,The Land of the Enlightened,Pieter-Jan De Pue,2016,TV-MA,"Documentaries, International Movies",84,
Movie,The Last Days of Chez Nous,Gillian Armstrong,1992,R,"Classic Movies, Dramas",93,
Movie,The Last Exorcism,Daniel Stamm,2010,PG-13,"Horror Movies, Independent Movies, Thrillers",88,
Movie,The Last Face,Sean Penn,2016,R,Dramas,131,
Movie,The Last Hangover,Rodrigo Van Der Put,2018,TV-MA,"Comedies, International Movies",44,
